dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
275,02-Oct,710.9,508.347,709.38,508.081,707.37,507.811,695.74,507.314,693.15,507.051
276,03-Oct,710.78,508.528,709.24,507.963,707.31,508.333,695.62,507.933,693.12,507.231
277,04-Oct,710.66,508.592,709.13,508.056,707.38,508.357,695.63,508.092,693.14,507.231
278,05-Oct,710.56,508.921,709.11,508.068,707.46,508.227,695.87,507.314,693.23,507.0
279,06-Oct,710.52,508.077,708.98,507.922,707.56,507.988,695.8,507.769,693.24,507.061
280,07-Oct,710.37,507.555,708.84,507.929,707.56,508.231,695.72,508.164,693.21,507.231
281,08-Oct,710.3,507.859,708.8,507.955,707.72,508.242,695.78,508.577,693.2,507.231
282,09-Oct,710.32,507.808,708.84,507.449,708.1,507.641,696.21,507.68,693.24,507.031
283,10-Oct,710.21,508.297,708.77,507.733,708.1,508.763,696.02,508.918,693.2,507.131
284,11-Oct,710.17,509.147,708.68,508.297,708.43,508.416,696.27,508.615,693.16,507.231
285,12-Oct,710.25,508.007,708.77,507.406,708.82,507.487,696.88,507.0,693.22,507.0
286,13-Oct,710.22,508.625,708.71,507.781,708.93,507.39,697.04,507.0,693.2,507.0
287,14-Oct,710.19,508.206,708.65,507.558,709.01,507.628,697.14,507.224,693.19,507.0
288,15-Oct,710.08,508.356,708.56,507.675,709.08,508.227,696.91,508.649,693.15,507.1
289,16-Oct,710.22,507.804,708.59,507.431,709.12,507.803,697.64,507.0,693.19,507.02
290,17-Oct,710.36,508.033,708.6,508.037,709.11,508.128,697.92,507.0,693.21,507.039
291,18-Oct,710.44,507.918,708.69,507.566,709.22,507.418,698.19,507.025,693.23,507.058
292,19-Oct,710.53,507.731,708.68,507.709,709.2,507.789,698.35,507.42,693.25,507.076
293,20-Oct,710.77,508.036,708.69,508.309,709.21,507.969,698.6,507.541,693.27,507.094
294,21-Oct,710.93,508.397,708.62,508.494,709.11,508.709,698.6,508.51,693.21,507.387
295,22-Oct,711.16,509.147,708.58,508.381,709.14,508.483,698.71,509.143,693.18,507.59
296,23-Oct,711.53,508.538,708.68,507.886,709.22,507.789,699.43,507.455,693.27,507.349
297,24-Oct,711.67,508.14,708.96,508.443,709.25,508.278,699.34,508.48,693.22,507.49
298,25-Oct,712.07,508.043,709.49,507.988,709.37,508.374,699.47,508.641,693.25,507.347
299,26-Oct,712.2,508.887,709.76,508.823,709.32,509.201,699.44,509.524,693.17,507.655
300,27-Oct,712.61,508.69,710.16,509.272,709.5,509.105,699.75,509.054,693.18,507.65
301,28-Oct,712.81,508.16,710.57,508.574,709.66,508.527,700.1,508.427,693.31,507.238
302,29-Oct,712.97,508.239,710.91,509.011,709.62,508.76,700.17,508.95,693.24,507.532
303,30-Oct,713.24,508.19,711.51,507.849,709.84,508.189,700.68,507.777,693.42,507.0
304,31-Oct,713.47,508.285,711.82,508.377,709.92,508.409,700.82,507.961,693.45,507.0
305,01-Nov,713.55,508.769,712.17,508.633,709.95,508.68,700.89,508.029,693.38,507.278
306,02-Nov,713.67,508.501,712.41,508.746,709.97,509.069,700.93,508.258,693.33,507.496
307,03-Nov,713.84,508.722,712.73,509.101,710.04,508.744,700.95,508.605,693.32,507.585
308,04-Nov,714.07,508.548,713.07,508.012,710.15,508.321,701.04,508.676,693.37,507.414
309,05-Nov,714.27,508.915,713.43,508.501,710.15,508.734,701.04,509.055,693.31,507.692
310,06-Nov,714.5,508.447,713.85,508.125,710.27,508.218,701.15,509.003,693.39,507.417
311,07-Nov,714.67,509.015,714.2,508.528,710.35,508.366,701.2,509.219,693.33,507.692
312,08-Nov,714.83,508.973,714.31,508.81,710.35,508.625,701.22,509.051,693.35,507.646
313,09-Nov,715.06,508.226,714.38,508.832,710.35,508.748,701.16,509.307,693.36,507.597
314,10-Nov,715.3,507.987,714.64,507.653,710.51,508.021,701.54,507.796,693.49,507.084
315,11-Nov,715.42,508.135,714.76,507.799,710.59,507.873,701.46,508.109,693.5,507.031
316,12-Nov,715.67,507.811,714.87,507.999,710.67,507.645,701.5,507.859,693.51,507.0
317,13-Nov,715.77,507.672,714.97,507.937,710.63,507.771,701.45,508.05,693.48,507.216
318,14-Nov,715.87,508.644,715.01,508.318,710.58,508.282,701.26,508.745,693.45,507.457
319,15-Nov,716.08,507.749,715.23,507.695,710.65,508.192,701.31,508.501,693.56,507.095
320,16-Nov,716.31,507.928,715.36,507.33,710.62,507.784,701.09,508.251,693.53,507.107
321,17-Nov,716.54,508.112,715.45,507.399,710.45,507.925,700.89,507.762,693.5,507.12
322,18-Nov,716.75,507.48,715.52,507.637,710.25,508.256,700.67,507.63,693.47,507.132
323,19-Nov,716.98,507.667,715.55,507.744,710.19,507.867,700.41,507.761,693.41,507.244
324,20-Nov,717.22,507.869,715.62,508.001,710.0,508.111,700.17,507.886,693.41,507.156
325,21-Nov,717.44,507.943,715.72,508.188,709.81,508.405,699.9,508.135,693.4,507.167
326,22-Nov,717.62,508.169,715.82,508.41,709.68,508.414,699.63,508.385,693.39,507.179
327,23-Nov,717.75,508.311,715.86,508.669,709.45,507.878,699.36,508.112,693.35,507.181
328,24-Nov,717.89,508.097,716.01,508.386,709.17,507.963,699.1,507.833,693.31,507.176
329,25-Nov,718.0,508.178,716.04,508.884,708.88,508.128,698.85,507.653,693.27,507.231
330,26-Nov,718.13,508.672,716.18,508.798,708.66,507.928,698.59,507.527,693.25,507.231
331,27-Nov,718.31,508.504,716.43,508.213,708.39,508.033,698.33,507.475,693.28,507.074
332,28-Nov,718.46,508.169,716.48,508.724,708.16,507.884,698.07,507.42,693.26,507.152
333,29-Nov,718.57,508.29,716.5,509.409,707.88,508.029,697.81,507.362,693.24,507.231
334,30-Nov,718.69,508.62,716.61,509.028,707.61,508.138,697.55,507.318,693.24,507.231
335,01-Dec,718.78,508.523,716.77,508.29,707.33,507.832,697.28,507.191,693.22,507.23
336,02-Dec,718.78,508.455,716.78,508.313,707.01,507.805,697.02,507.163,693.2,507.229
337,03-Dec,718.91,508.761,716.83,508.545,706.7,507.751,696.77,507.166,693.18,507.227
338,04-Dec,719.02,508.588,716.83,508.863,706.39,507.766,696.55,507.168,693.16,507.224
339,05-Dec,719.16,508.433,716.92,508.839,706.11,507.571,696.39,507.005,693.14,507.221
340,06-Dec,719.28,508.399,717.0,509.064,705.8,507.589,696.22,507.003,693.13,507.217
341,07-Dec,719.43,508.488,717.2,508.641,705.51,507.515,696.07,507.0,693.11,507.213
342,08-Dec,719.38,508.574,717.22,508.791,705.17,507.502,695.99,507.059,693.09,507.095
343,09-Dec,719.33,508.519,717.2,509.123,704.84,507.497,695.88,507.231,693.07,507.0
344,10-Dec,719.3,508.568,717.23,508.606,704.51,507.406,695.81,507.231,693.05,507.0
345,11-Dec,719.24,508.611,717.18,509.027,704.18,507.418,695.81,507.0,693.03,507.0
346,12-Dec,719.2,508.903,717.26,508.729,703.87,507.431,695.72,507.164,693.01,507.0
347,13-Dec,719.17,508.835,717.27,508.859,703.61,507.352,695.7,507.0,692.99,507.0
348,14-Dec,719.14,508.988,717.3,508.8,703.32,507.406,695.62,507.158,692.97,507.0
349,15-Dec,719.08,509.001,717.25,509.301,703.03,507.462,695.55,507.231,692.95,507.0
350,16-Dec,718.87,508.843,717.03,509.036,702.73,507.306,695.43,507.219,692.93,507.0
351,17-Dec,718.78,507.949,716.9,508.238,702.45,507.141,695.32,507.206,692.92,507.0
352,18-Dec,718.55,508.059,716.69,508.19,702.17,507.091,695.2,507.192,692.9,507.0
353,19-Dec,718.32,508.075,716.51,508.016,701.89,507.037,695.11,507.178,692.88,507.0
354,20-Dec,718.1,508.219,716.28,508.176,701.6,507.0,695.02,507.162,692.86,507.0
355,21-Dec,717.86,508.154,716.1,508.015,701.32,507.0,694.93,507.145,692.84,507.0
356,22-Dec,717.62,508.396,715.91,507.922,701.04,507.0,694.84,507.127,692.82,507.0
357,23-Dec,717.38,508.645,715.68,508.097,700.75,507.0,694.74,507.108,692.8,507.0
358,24-Dec,717.1,508.315,715.39,507.968,700.48,507.0,694.68,507.231,692.78,507.0
359,25-Dec,716.82,508.098,715.1,507.849,700.21,507.0,694.71,507.0,692.76,507.0
360,26-Dec,716.54,507.871,714.81,507.673,699.94,507.0,694.66,507.151,692.74,507.0
361,27-Dec,716.26,507.75,714.52,507.638,699.67,507.0,694.68,507.0,692.72,507.0
362,28-Dec,715.98,507.648,714.23,507.531,699.39,507.0,694.64,507.146,692.7,507.0
363,29-Dec,715.7,507.609,713.98,507.255,699.15,507.0,694.61,507.231,692.68,507.0
364,30-Dec,715.45,507.419,713.68,507.231,698.91,507.011,694.64,507.0,692.66,507.0
365,31-Dec,716.05,507.214,714.29,507.231,699.53,507.0,695.34,507.0,693.04,507.0
