dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
176,25-Jun,703.03,507.452,712.47,508.174,711.3,507.396,710.76,508.31,706.25,507.409
177,26-Jun,703.06,508.063,712.48,507.564,711.31,507.962,710.69,508.056,706.04,507.348
178,27-Jun,703.33,507.653,712.49,508.236,711.36,508.036,710.51,507.957,705.8,507.462
179,28-Jun,703.46,507.767,712.57,508.402,711.41,507.583,710.34,508.205,705.59,507.462
180,29-Jun,703.75,508.097,712.68,508.307,711.44,507.705,710.3,507.429,705.44,507.17
181,30-Jun,704.03,508.459,712.7,508.413,711.46,507.796,710.1,507.811,705.21,507.231
182,01-Jul,704.07,507.578,712.65,507.713,711.29,507.525,709.88,507.669,704.96,507.111
183,02-Jul,704.09,508.458,712.58,508.622,711.14,507.692,709.68,507.659,704.7,507.09
184,03-Jul,704.18,508.076,712.54,508.508,710.97,508.081,709.48,507.705,704.45,507.139
185,04-Jul,704.26,508.311,712.49,509.051,710.8,507.784,709.27,507.903,704.18,507.231
186,05-Jul,704.29,508.048,712.56,507.931,710.62,507.686,709.1,507.54,703.96,507.05
187,06-Jul,704.31,508.768,712.49,508.515,710.49,507.823,708.89,507.637,703.7,507.139
188,07-Jul,704.32,507.631,712.42,508.0,710.32,507.498,708.68,507.756,703.43,507.231
189,08-Jul,704.2,508.818,712.7,508.419,710.16,507.701,708.39,507.731,703.15,507.215
190,09-Jul,704.25,508.266,713.02,508.268,710.05,507.717,708.12,507.665,702.86,507.197
191,10-Jul,704.29,508.006,713.41,508.352,709.94,507.897,707.87,507.606,702.58,507.177
192,11-Jul,704.33,508.605,713.75,508.503,709.9,507.735,707.65,507.387,702.29,507.155
193,12-Jul,704.34,507.485,714.0,507.44,709.75,507.567,707.37,507.486,702.01,507.131
194,13-Jul,704.36,508.351,714.32,508.144,709.7,507.385,707.16,507.279,701.72,507.104
195,14-Jul,704.36,508.131,714.58,508.316,709.54,507.867,706.87,507.431,701.43,507.075
196,15-Jul,704.47,508.923,714.97,508.741,709.52,507.634,706.63,507.462,701.14,507.043
197,16-Jul,704.72,508.317,714.93,507.971,709.45,507.461,706.33,507.239,700.85,507.001
198,17-Jul,705.01,508.237,714.91,508.296,709.36,507.847,706.02,507.166,700.56,507.002
199,18-Jul,705.23,508.101,714.86,508.547,709.36,508.121,705.7,507.174,700.27,507.002
200,19-Jul,705.6,509.115,714.81,508.856,709.36,508.439,705.39,507.183,699.98,507.002
201,20-Jul,706.07,507.775,714.83,508.045,709.46,507.56,705.07,507.193,699.69,507.002
202,21-Jul,706.67,508.421,714.94,508.388,709.4,507.97,704.75,507.205,699.39,507.001
203,22-Jul,707.18,508.031,715.1,508.043,709.49,507.629,704.43,507.217,699.1,507.0
204,23-Jul,707.66,508.501,715.15,508.868,709.4,508.347,704.12,507.231,698.81,507.0
205,24-Jul,707.79,508.118,715.2,508.952,709.38,508.123,703.79,507.36,698.51,507.0
206,25-Jul,707.92,508.76,715.24,508.846,709.26,508.051,703.48,507.403,698.21,507.0
207,26-Jul,708.3,507.426,715.41,507.9,709.33,507.443,703.28,507.047,697.93,507.0
208,27-Jul,708.6,508.421,715.44,507.621,709.27,507.321,702.95,507.158,697.64,507.0
209,28-Jul,708.95,508.489,715.46,508.254,709.16,507.75,702.66,507.26,697.35,507.0
210,29-Jul,709.3,508.413,715.48,508.295,709.13,507.73,702.46,507.0,697.07,507.0
211,30-Jul,709.62,507.646,715.5,507.792,709.02,507.277,702.17,507.072,696.78,507.0
212,31-Jul,709.93,508.604,715.51,508.359,708.9,507.757,701.85,507.259,696.49,507.0
213,01-Aug,709.99,508.123,715.36,508.475,708.91,508.569,701.55,507.652,696.2,507.056
214,02-Aug,710.06,508.001,715.2,508.564,709.06,508.324,701.31,507.824,695.91,507.111
215,03-Aug,710.12,508.585,715.15,508.398,709.25,507.682,701.27,507.197,695.63,507.119
216,04-Aug,710.19,507.949,715.0,508.637,709.3,508.174,701.03,507.325,695.34,507.175
217,05-Aug,710.25,508.072,714.85,507.929,709.28,508.272,700.73,507.698,695.04,507.231
